metro_id,metro,country,State if US,Historical directory located,Directory processed,Manual input necessary,Manual building correction done,Number of prime points,Name directory
17,Buenos Aires,Argentina, Argentina,,,,,,
14,Brisbane,Australia, Australia,,,,,,
67,Melbourne,Australia, Australia,,,,,,
111,Sydney,Australia, Australia,,,,,,
122,Vienna,Austria, Austria,,,,,,
3,Antwerp,Belgium, Belgium,,,,,,
15,Brussels,Belgium, Belgium,,,,,,
94,Rio de Janeiro,Brazil, Brazil,,,,,,
112,Sao Paulo,Brazil, Brazil,,,,,,
19,Calgary,Canada, Canada,Yes,,,,,
35,Edmonton,Canada, Canada,Yes,,,,,
73,Montreal,Canada, Canada,Yes,,,,,
84,Ottawa,Canada, Canada,,,,,,
91,Quebec,Canada, Canada,,,,,,
118,Toronto,Canada, Canada,,,,,,
120,Vancouver,Canada, Canada,,,,,,
121,Victoria,Canada, Canada,,,,,,
125,Winnipeg,Canada, Canada,,,,,,
104,Santiago de Chile,Chile, Chile,,,,,,
10,Beijing,China, China,,,,,,
22,Chengdu,China, China,,,,,,
24,Chongqing,China, China,,,,,,
42,Guangzhou,China, China,,,,,,
44,Hangzhou,China, China,,,,,,
47,Hong Kong,China, China,,,,,,
77,Nanjing,China, China,,,,,,
81,Ningbo,China, China,,,,,,
107,Shanghai,China, China,,,,,,
110,Suzhou,China, China,,,,,,
116,Tianjin,China, China,,,,,,
126,Wuhan,China, China,,,,,,
127,Wuxi,China, China,,,,,,
46,Helsinki,Finland, Finland,,,,,,
63,Lyon,France, France,,,,,,
85,Paris,France, France,,,,,,
11,Berlin,Germany, Germany,,,,,,
33,Duesseldorf,Germany, Germany,,,,,,
37,Frankfurt,Germany, Germany,,,,,,
43,Hamburg,Germany, Germany,,,,,,
75,Munich,Germany, Germany,,,,,,
12,Birmingham,Great Britain, United Kingdom,,,,,,
61,London,Great Britain, United Kingdom,,,,,,
66,Manchester,Great Britain, Great Britain,,,,,,
93,Reading,Great Britain, Great Britain,,,,,,
4,Athens,Greece, Greece,,,,,,
16,Budapest,Hungary, Hungary,,,,,,
51,Jakarta,Indonesia, Indonesia,,,,,,
32,Dublin,Ireland, Ireland,,,,,,
39,Fukuoka,Japan, Japan,,,,,,
76,Nagoya,Japan, Japan,,,,,,
83,Osaka,Japan, Japan,,,,,,
117,Tokyo,Japan, Japan,,,,,,
56,Kuwait City,Kuwait, Kuwait,,,,,,
55,Kuala Lumpur,Malaysia, Malaysia,,,,,,
108,Singapore,Malaysia, Singapore,,,,,,
41,Guadalajara,Mexico, Mexico,,,,,,
68,Mexico City,Mexico, Mexico,,,,,,
72,Monterrey,Mexico, Mexico,,,,,,
1,Amsterdam,Netherlands, Netherlands,,,,,,
97,Rotterdam,Netherlands, Netherlands,,,,,,
119,Utrecht,Netherlands, Netherlands,,,,,,
59,Lima,Peru, Peru,,,,,,
92,Quezon City,Philippines, Philippines,,,,,,
74,Moscow,Russia, Russia,,,,,,
96,Riyadh,Saudi Arabia, Saudi Arabia,,,,,,
20,Cape Town,South Africa, South Africa,,,,,,
34,Durban,South Africa, South Africa,,,,,,
52,Johannesburg,South Africa, South Africa,,,,,,
18,Busan,South Korea, South Korea,,,,,,
106,Seoul,South Korea, South Korea,,,,,,
8,Barcelona,Spain, Spain,,,,,,
64,Madrid,Spain, Spain,,,,,,
40,Gothenburg,Sweden, Sweden,,,,,,
45,Helsingborg,Sweden, Sweden,,,,,,
60,Linkoeping,Sweden, Sweden,,,,,,
65,Malmoe,Sweden, Sweden,,,,,,
129,Oerebroe,Sweden, Sweden,,,,,,
109,Stockholm,Sweden, Sweden,,,,,,
9,Basel,Switzerland, Switzerland,,,,,,
128,Zurich,Switzerland, Switzerland,,,,,,
54,Kaohsiung City,Taiwan, Taiwan,,,,,,
113,Taichung City,Taiwan, Taiwan,,,,,,
114,Taipei City,Taiwan, Taiwan,,,,,,
7,Bangkok,Thailand, Thailand,,,,,,
2,Ankara,Turkey, Turkey,,,,,,
50,Istanbul,Turkey, Turkey,,,,,,
31,Dubai,United Arab Emirates, United Arab Emirates,,,,,,
5,Atlanta,USA, GA,,,,,,
6,Austin,USA, TX,,,,,,
13,Boston,USA, MA,,,,,,
21,Charlotte,USA, NC,,,,,,
23,Chicago,USA, IL,,,,,,
25,Cincinnati,USA, OH,,,,,,
26,Cleveland,USA, OH,,,,,,
27,Columbus,USA, OH,,,,,,
28,Dallas,USA, TX,,,,,,
29,Denver,USA, CO,,,,,,
30,Detroit,USA, MI,,,,,,
38,Fort Lauderdale,USA, FL,,,,,,
36,Fort Worth,USA, TX,,,,,,
48,Houston,USA, TX,,,,,,
49,Indianapolis,USA, IN,,,,,,
53,Kansas City,USA, MO,,,,,,
57,Las Vegas,USA, NV,,,,,,
58,Lexington,USA, KY,,,,,,
62,Los Angeles,USA, CA,1,1,1,,,
69,Miami,USA, FL,,,,,,
70,Milwaukee,USA, WI,,,,,,
71,Minneapolis,USA, MN,,,,,,
78,Nashville,USA, TN,,,,,,
79,New York,USA, NY,,,,,,
80,Newark,USA, NJ,,,,,,
82,Orlando,USA, FL,,,,,,
86,Philadelphia,USA, PA,,,,,,
87,Phoenix,USA, AZ,,,,,,
88,Pittsburgh,USA, PA,,,,,,
89,Portland,USA, OR,,,,,,
90,Providence,USA, RI,,,,,,
95,Riverside,USA, CA,1,,,,,
98,Sacramento,USA, CA,1,,,,,
99,Saint Louis,USA, MO,,,,,,
100,San Antonio,USA, TX,,,,,,
101,San Diego,USA, CA,1,,,,,
102,San Francisco,USA, CA,1,,,,,
103,San Jose,USA, CA,1,,,,,
105,Seattle,USA, WA,,,,,,
115,Tampa,USA, FL,,,,,,
123,Virginia Beach,USA, VA,,,,,,
124,Washington,USA, DC,,,,,,
